Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
India,IND,Population growth (annual %),SP.POP.GROW,NA,2.304706381,2.311689163,2.3090789,2.301191796,2.235299586,2.151837768,2.128767359,2.168861631,2.203157234,2.210183277,2.217008176,2.227430962,2.251176307,2.258204381,2.238457277,2.209050614,2.208416587,2.212935178,2.223534061,2.261218853,2.275892992,2.260807779,2.258689246,2.262755052,2.248362401,2.235271247,2.21094603,2.184281791,2.169217481,2.141140539,2.101891054,2.074344245,2.047837361,2.02085602,1.991871229,1.951435501,1.919262595,1.887557865,1.849333251,1.822184002,1.808446421,1.776767874,1.724269032,1.67281087,1.604129169,1.52430796,1.46637175,1.422391509,1.39119493,1.377595812,1.361588085,1.33219205,1.297548835,1.240362184,1.18779532,1.185046229,1.155624491,1.087527722,1.025310772,0.955220858,0.797216094,0.680372581
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,NA,153.4889718,157.0784891,160.7477554,164.4897598,168.2080008,171.8667885,175.5646524,179.4139994,183.4106364,187.5094767,191.7130012,196.0311897,200.4942446,205.0733223,209.7155644,214.3998359,219.1873469,224.0918878,229.1304568,234.3706204,239.7658064,245.24819,250.850617,256.5914577,262.4259075,268.3578893,274.357214,280.4158769,286.5651617,292.7670835,298.9858556,305.2526239,311.5681463,317.9285407,324.3247586,330.7159038,337.1245127,343.5483693,349.9608347,356.3962192,362.9000861,369.4056011,375.8303785,382.1701886,388.3501266,394.3151255,400.1398528,405.8720788,411.5580101,417.2668481,422.9871589,428.659862,434.2581749,439.6780929,444.931708,450.2357199,455.468934,460.4493174,465.1946394,469.6595667,NA,NA
India,IND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,29.8,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,IND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,NA,NA,NA,NA,NA,56.3,NA,NA,NA,50.6,NA,NA,NA,NA,NA,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,NA,NA,NA,NA,32.9,NA,22.5,NA,NA,NA,18.7,18.1,13.4,11.1,10,NA,NA,NA
India,IND,Income share held by lowest 20%,SI.DST.FRST.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,8.5,NA,NA,NA,8.7,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,8.3,NA,8.1,NA,NA,NA,8.4,8.3,8.2,8.1,8.1,NA,NA,NA
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.218,45.398,45.659,45.936,46.184,44.98,45.333,45.674,47.471,47.857,48.241,48.632,49.025,49.539,50.244,50.812,51.388,51.909,52.492,53.06,53.611,54.175,54.732,55.281,55.816,56.334,56.835,57.315,57.777,58.233,58.652,59.055,59.452,59.815,60.216,60.596,60.984,61.388,61.792,62.207,62.669,63.091,63.616,64.094,64.524,64.996,65.412,65.788,66.149,66.513,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,NA
India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.921,5.937,5.953,5.969,5.979,5.941,5.881,5.825,5.76,5.684,5.624,5.565,5.482,5.402,5.325,5.195,5.13,5.007,4.888,4.808,4.775,4.698,4.62,4.565,4.516,4.432,4.399,4.311,4.222,4.132,4.045,3.959,3.877,3.799,3.723,3.651,3.582,3.514,3.446,3.383,3.35,3.303,3.217,3.122,3.046,2.958,2.864,2.784,2.718,2.673,2.603,2.536,2.467,2.406,2.306,2.287,2.273,2.2,2.177,2.109,2.051,2.031,NA
India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,148.417,149.385,149.209,148.552,148.623,151.004,152.563,155.038,154.484,153.396,152.163,154.814,156.177,157.879,155.834,152.156,149.66,137.853,137.546,144.883,145.341,149.661,148.568,145.902,144.93,143.129,142.136,125.57,130.778,130.494,122.287,128.465,128.913,123.529,124.343,122.403,114.425,111.706,110.369,104.382,100.704,99.575,93.536,86.914,73.229,55.703,47.951,45.112,48.306,41.494,39.222,36.935,34.535,33.962,34.643,22.432,20.025,20.42,19.275,17.701,17.278,17.234,NA
India,IND,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,242.8,239.3,236.1,233.2,230.4,227.8,225.3,222.7,220.2,217.5,214.5,211.4,208.1,204.4,200.3,195.9,190.9,185.6,180.1,174.5,169,163.8,159,154.5,150.3,146.2,142.2,138.2,134.2,130.3,126.5,122.9,119.5,116.2,112.8,109.4,106,102.5,98.9,95.3,91.6,88,84.5,81.1,77.7,74.4,71.1,67.8,64.5,61.3,58.1,55,52,49.1,46.2,43.6,41,38.7,36.4,34.3,32.4,30.6,NA
India,IND,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,NA,52.8,51.3,NA,NA,NA,NA,38.4,NA,45.3,NA,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,29.4,36.3,NA,33.4,NA,NA,31.5,NA,NA
